"title","description","brand","model","type","price","image_url","city","town","address","doors","passengers","transmission","luggage","air_condition"
"Copen","Rent an Audi A5 in Karachi","Daihatsu","Copen","Hatchback/Small","10000","https://farhanrentacar.com/wp-content/uploads/2025/07/Daihatsu-Copen.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","2","2","Auto","0","Yes"
"Air Condition Bus","Rent an Air Conditioned Bus in Karachi Planning a group trip, staff [&hellip;]","","Air Condition Bus","Van/Bus","","https://farhanrentacar.com/wp-content/uploads/2025/07/c7aa0f6057ccf46bbcaa024b9f6f1adc.webp","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","3","40 / 45","Auto","10","Yes"
"Toyota Legender","Rent a Toyota Fortuner in Karachi","Toyota","Legender","SUV","18000","https://farhanrentacar.com/wp-content/uploads/2025/07/Toyota-Legender.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","5","7","Auto","2",""
"Lexus LX570","Rent a Toyota Lexus LX570 in Karachi Experience elite luxury and commanding [&hellip;]","Lexus","LX570","SUV","On Call","https://farhanrentacar.com/wp-content/uploads/2025/07/f0c34a5741a1038c8ae8973b298e5b84.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","5","7","Auto","2",""
"Toyota Land Cruiser LC200","Rent a Toyota Land Cruiser LC200 in Karachi Command the road in [&hellip;]","Toyota","Land Cruiser LC200","SUV","25000","https://farhanrentacar.com/wp-content/uploads/2025/07/4181090914ec4b93a2b33780b3f18d3e.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","5","7","Auto","2",""
"Honda City","Rent a Honda City in Karachi Looking for a fuel-efficient and comfortable [&hellip;]","Honda","City","Sedan","7000","https://farhanrentacar.com/wp-content/uploads/2025/07/3086832aa78b24297498863cb6040192-1.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Honda Civic 11 gen","Rent a Honda Civic in Karachi Rent a Honda Civic in Karachi [&hellip;]","Honda","Civic 11 gen","Sedan","12000","https://farhanrentacar.com/wp-content/uploads/2025/07/Honda-Civic-11gen.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Toyota Corolla X","Rent a Toyota Corolla X in Karachi Looking for a refined driving [&hellip;]","Toyota","Corolla X","Sedan","7000","https://farhanrentacar.com/wp-content/uploads/2025/07/super-white-1.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Daihatsu Mira","Rent a Daihatsu Mira in Karachi Need a reliable car that’s easy [&hellip;]","Daihatsu","Mira","Hatchback/Small","4500","https://farhanrentacar.com/wp-content/uploads/2025/07/pngwing.com_.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Suzuki Swift","Rent a Suzuki Swift in Karachi Looking for a sleek and compact [&hellip;]","Suzuki","Swift","Hatchback/Small","5500","https://farhanrentacar.com/wp-content/uploads/2025/07/8b3f10a318fea80f1c575483a8e2600c.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Toyota Hiace","Rent a Toyota Hiace in Karachi Planning group travel, staff movement, or [&hellip;]","Toyota","Hiace","Van/Bus","12000","https://farhanrentacar.com/wp-content/uploads/2025/07/4072cbf4f6bbaed3998d8edb308a76b3.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","14","Auto","4","Yes"
"Honda Civic","Rent a Honda Civic in Karachi Looking to travel in style without [&hellip;]","Honda","Civic","Sedan","8000","https://farhanrentacar.com/wp-content/uploads/2024/08/4d7389997d1726e124aa615b25206e1e.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Toyota Corolla Altis","Rent a Corolla Altis in Karachi","Toyota","Corolla Altis","Sedan","6000","https://farhanrentacar.com/wp-content/uploads/2024/08/46c6d9ed9d79dcaebaeeaf1c16c4bd8d.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Toyota Corolla GLI","Rent a Toyota Corolla GLi in Karachi","Toyota","Corolla GLI","Sedan","5000","https://farhanrentacar.com/wp-content/uploads/2024/08/37b63a0f957c8bf9207d050fbccc2ad0.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
"Toyota Yaris","Rent a Toyota Yaris in Karachi","Toyota","Yaris","Sedan","6000","https://farhanrentacar.com/wp-content/uploads/2024/08/9ace56cdebb06ea468a2516a2913dad8.png","Karachi","Liaquatabad Town","10/714, 10 Liaqatabad Underpass, Laloo Khait Block 10 Liaquatabad Town, Karachi, 74600, Pakistan","4","4","Auto","2","Yes"
