Rawalpindi,Multan,Bahawalpur,Sheikhupura,Jhang,Gujrat,Kasur,Okara,Sahiwal,Mandi Bahauddin,Chiniot,Hafizabad,Khanewal,Vehari,Layyah,Bhakkar,Attock,Jhelum,Chakwal,Nankana Sahib,Narowal,Pakpattan,Toba Tek Singh,Lodhran,Bahawalnagar,Muzaffargarh,Dera Ghazi Khan,Rajana,Arifwala,Burewala,Kamoke,Mianwali,Khushab,Karachi,Hyderabad,Sukkur,Larkana,Nawabshah,Mirpurkhas,Jacobabad,Shikarpur,Khairpur,Dadu,Thatta,Badin,Tando Adam,Tando Allahyar,Umerkot,Ghotki,Kashmore,Jamshoro,Matiari,Sanghar,Naushahro Feroze,Peshawar,Mardan,Abbottabad,Swat (Mingora),Mansehra,Haripur,Charsadda,Nowshera,Kohat,Bannu,Dera Ismail Khan,Swabi,Timergara,Batkhela,Dir,Hangu,Karak,Lakki Marwat,Tank,Quetta,Gwadar,Turbat,Khuzdar,Hub,Chaman,Zhob,Sibi,Loralai,Dera Murad Jamali,Usta Muhammad,Panjgur,Awaran,Kalat,Nushki,Muzaffarabad,Mirpur,Kotli,Bhimber,Rawalakot,Bagh,Hattian Bala,Gilgit,Skardu,Hunza,Ghizer,Diamer,Ghanche,Astore
Saddar,Cantt,Saddar Bazaar,Civil Lines,Saddar Bazaar,Saddar,Saddar,Saddar Bazaar,Saddar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar,Saddar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Clifton,Saddar,Saddar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar,Saddar Bazaar,Saddar,Saidu Sharif,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Saddar Bazaar,Karimabad,Gahkuch,Chilas,Khaplu,Astore Bazaar
Raja Bazaar,Gulgasht Colony,Model Town A,Railway Road,Civil Lines,Civil Lines,Railway Road,Civil Lines,Civil Lines,Civil Lines,Bhowana,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Jaranwala Road,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Main Chowk,Civil Lines,Civil Lines,GT Road,Civil Lines,Civil Lines,Defence (DHA),Qasimabad,Barrage Colony,Station Road,Station Road,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,University Road,Civil Lines,Civil Lines,Civil Lines,Hayatabad,Civil Lines,Mandian,Mingora City,Civil Lines,Civil Lines,Tangi,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Topi,Main Bazaar,Main Chowk,Wari,Doaba,Civil Lines,Civil Lines,Civil Lines,Cantonment,Old Town,Airport Road,Civil Lines,Hub City,Boghra Road,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Jhal Jhao,Civil Lines,Civil Lines,Secretariat Area,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Civil Lines,Jutial,K2 Chowk,Altit,Yasin Valley,Darel,Shigar,Rama
Committee Chowk,Bosan Road,Model Town B,GT Road,Ahmad Pur Sial,GT Road,Chunian,Renala Khurd,Farid Town,Malakwal,Lalian,Pindi Bhattian,Kabirwala,Burewala,Karor Lal Esan,Darya Khan,Kamra,GT Road,Talagang,Shahkot,Shakargarh,Arifwala,Gojra,Kahror Pacca,Haroonabad,Alipur,Taunsa,Faisalabad Road,Pakpattan Road,Vehari Road,Railway Road,Piplan,Jauharabad,Gulshan-e-Iqbal,Latifabad,New Sukkur,Civil Lines,Civil Lines,Station Road,Railway Station Area,Khanpur,Gambat,Johi,Makli,Tando Bago,Chamber,Jhando Mari,Kunri,Mirpur Mathelo,Kandhkot,Kotri,Hala,Shahdadpur,Moro,University Town,Takht Bhai,Jhangi Syedan,Kanju,Balakot,Khalabat,Shabqadar,Pabbi,Hangu Road,Domail,Township,Razaar,Talash,Malakand Road,Timergara Road,Tall,Banda Daud Shah,Tajazai,Gomal Zam,Jinnah Town,New Town,Civil Lines,Wadh,Hub Chowki,Civil Lines,Kili Almas,Lehri,Duki,Gandawa,Jhatpat,Parom,Mashkai,Surab,Dalbandin,Chattar Domail,Khari Sharif,Sehnsa,Barnala,Tararkhal,Rera,Chakothi,Danyor,Olding,Gulmit,Ishkoman,Tangir,Hushe,Minimarg
Satellite Town,Vehari Chowk,Ahmad Pur East,Satellite Town,Shorkot,Model Town,Pattoki,Depalpur,Model Town,Phalia,Civil Lines,Kot Nakka,Mian Channu,Mailsi,Chaubara,Mankera,Hazro,Dina,Choa Saidan Shah,Sangla Hill,Zafarwal,Haveli Lakha,Kamalia,Dunyapur,Fort Abbas,Jatoi,Rajanpur,Jhang Road,Sahiwal Road,Multan Road,Gujranwala Road,Isa Khel,Noorpur Thal,North Nazimabad,Cantonment,Civil Lines,Jinnah Bagh,Sakrand,Hyderabad Road,Garhi Khairo,Garhi Yasin,Kot Diji,Mehar,Sujawal,Matli,Bulri Shah Karim,Tando Ghulam Hyder,Samaro,Daharki,Tangwani,Sita Road,Saeedabad,Jam Nawaz Ali,Mehrabpur,Cantt,Katlang,Nawanshahr,Matta,Oghi,Khanpur,Dheri Zardad,Akora Khattak,Bannu Road,Wazir Bagh,Gomal University Area,Zaida,Balambat,Thana,Main Bazaar,Kohat Road,Latamber,Bettani,Wana Road,Satellite Town,Pishukan,Hoshab,Ornach,Gadani,Frontier Road,Muslim Bagh,Sangan,Sanjawi,Jhatpat,Bhag,Gichk,Gishkaur,Mangochar,Chagai,Lower Chattar,Dadyal,Fatehpur Thakiala,Samahni,Thotha,Birpani,Leepa,Konodas,Yadgar,Ganish,Punial,Babusar,Machulo,Burzil
Bahria Town,Shah Rukn-e-Alam,Yazman,Model Town,Athara Hazari,Satellite Town,Kot Radha Kishan,Basirpur,Chichawatni,Malikwal,Jhang Road,Jalalpur Bhattian,Jahanian,Luddan,Fatehpur,Kallurkot,Fateh Jang,Sohawa,Kallar Kahar,Buchiana,Noor Kot,Burewala Road,Pir Mahal,Jalalpur Pirwala,Minchinabad,Kot Addu,Jampur,Railway Road,Railway Road,Railway Road,Lahore Road,Wan Bachran,Quaidabad,Saddar,Auto Bhan Road,Airport Road,Resham Gali,Daur,Sindhri,Thul,Lakhi,Sobho Dero,Khairpur Nathan Shah,Jati,Talhar,Sinjhoro,Nasarpur,Pithoro,Khangarh,Guddu,Manjhand,Bhit Shah,Khipro,Kandiaro,Bara,Rustam,Supply Bazaar,Bahrain,Shinkiari,Ghazi,Rajjar,Peshawar Road,Peshawar Road,Lakki Road,Cantt,Tordher,Khar,Jauharabad,Chitral Road,Civil Lines,Takht-e-Nasrati,Wanda Sher Ghazi,DI Khan Road,Brewery Road,Surbandan,Mand,Zehri,Winder,Afghan Border,Kashatu,Kutmandai,Mekhtar,Baba Kot,Bakhtiarabad,Gowargo,Korak,Johan,Taftan,Upper Chattar,Mangla,Nakyal,Kharick,Hajira,Harighal,Athmuqam,Amphri,Satpara,Aliabad,Phandar,KKH Road,Haldi,Godai
DHA Rawalpindi,Hussain Agahi,Hasilpur,Jahangir Colony,Garh Maharaja,Jalalpur Jattan,Phool Nagar,Hujra Shah Muqeem,Arifwala,Pahrianwali,Faisalabad Road,Sukheke Mandi,Abdul Hakeem,Tibba Sultan Pur,Model Town,Nawan Jandanwala,Hassan Abdal,Pind Dadan Khan,Lawa,Model Town,Model Town,Model Town,Model Town,Model Town,Chishtian,Khangarh,Model Town,Civil Lines,Model Town,Model Town,Model Town,Kalabagh,Naushera,Malir,Hali Road,Minara Road,Bunder Road,Qazi Ahmed,Digri,Dera Allah Yar,Sultan Kot,Kingri,Radhan,Mirpur Sakro,Khoski,Hyderabad Road,Hyderabad Road,Mirpurkhas Road,Ubauro,Karampur,Nooriabad,Odero Lal,Tando Adam,Bhiria,Jamrud,Mayar,Mansehra Road,Madyan,Baffa,GT Road,Utmanzai,GT Road,Cantt Area,Kohat Road,Circular Road,Chota Lahor,Mayar,Pir Baba,Civil Lines,Thall Road,Kohat Road,Gambila,City Area,Samungli Road,Gwadar Port Area,Buleda,Nall,Bela,Spin Boldak Road,Qilla Saifullah,Quetta Road,Barkhan,Sibi Road,Sibi Road,Khudabadan,City Area,Gazg,City Area,Naluchi,Chakswari,Charhoi,Liaqatabad,Abbaspur,Dhirkot,Muzaffarabad Road,Baseen,Naya Bazar,Hyderabad,Gulaghmuli,Astore Road,Keris,Chilim
PWD,Qasim Bela,Cholistan,Hamza Town,Model Town,Kharian,Kanganpur,The Mall,Pakpattan Road,Qadirabad,Model Town,Kaleke Mandi,Model Town,Model Town,Satellite Town,Behal,Pindi Gheb,Domeli,Bhaun,Satellite Town,Satellite Town,Satellite Town,Satellite Town,Satellite Town,Model Town,Model Town,Satellite Town,Model Town,Satellite Town,Satellite Town,Satellite Town,Daudkhel,Hadali,Korangi,Thandi Sarak,Station Road,Medical Road,Kazi Ahmed Road,Jhuddo,Kandhkot,Madeji,Mir Wah,Sehwan Sharif,Ghorabari,Tando Ghulam Ali,Mirpurkhas Road,Mirpurkhas Road,Islamkot,Jarwar,Jacobabad Road,Thano Bula Khan,Hyderabad Road,Sinjhoro,Naushahro Road,Shaheen Muslim Town,Gujjar Garhi,Havelian,Kalam,Kaghan,Hattar,Prang,Mardan Road,KDA,Miranshah Road,Tank Road,Kalu Khan,Civil Lines,Aboha,Maydan,Ibrahimzai,Bannu Road,Sarai Naurang,Main Bazaar,Airport Road,Shadi Kaur,Dasht,Gresha,Uthal,Mall Road,Fort Sandeman,Jacobabad Road,City Area,Quetta Road,Jacobabad Road,City Area,Main Bazaar,City Area,Main Bazaar,Nojumi,Islamgarh,Aghar,Bunj,Bagh Road,Sudhan Gali,City Area,Oshikandass,Hussainabad,Murtazaabad,Singal,Raikot,Daghoni,Rattu
Westridge,Shah Shams,Satellite Town,Farooqabad,Shah Jewna,Sara-e-Alamgir,Khudian,Shergarh,Qadirabad,Mohalla Sooter,Satellite Town,Vanike Tarar,Satellite Town,Satellite Town,DG Khan Road,Model Town,Jand,Rasul,Mulhal Mughalan,GT Road,Sialkot Road,Sahiwal Road,Faisalabad Road,Multan Road,Satellite Town,Satellite Town,Multan Road,Gojra Road,Multan Road,Luddan Road,Civil Lines,Model Town,Model Town,Landhi,Market,Shikarpur Road,VIP Road,Nawabshah City,Tando Ghulam Ali,Kashmore,Khanpur Mahar,Thari Mirwah,Sita Road,Keti Bandar,Shaheed Fazil Rahu,Station Road,Badin Road,Chhor,Sukkur Road,Sukkur Road,Hyderabad Road,Tando Allahyar Road,Chamber,Nawabshah Road,Gulbahar,Sheikh Maltoon Town,Jhangira,Khwazakhela,Naran,Sarai Saleh,Peshawar Road,Nowshera Cantt,Jarma,Township,Bannu Road,Maneri,Dir Road,Totalai,Balambat,Raisan,City Area,Bannu Road,Hospital Road,Zarghoon Road,Sur Bandar,Tump,Karak,Lasbela,Railway Station,City Area,City Area,Main Bazaar,City Area,City Area,Main Bazaar,Civil Lines,Main Bazaar,Hospital Road,Ambore,Jatlan,Gulpur,City Area,City Area,City Area,Main Bazaar,Sultanabad,KKH Road,Baltit,Chatorkhand,Sazin,Saling,Rupal
Chaklala,Mumtazabad,Farid Gate,Muridke,Satellite Town,Kunjah,Ellahabad,Gogera,Okara Road,Rasul,Chenab Nagar,Model Town,Multan Road,Multan Road,Multan Road,Satellite Town,Lawrencepur,Chak Jamal,Dhudial,Warburton,GT Road,Okara Road,Jhang Road,Bahawalpur Road,Multan Road,Multan Road,Fort Munro,Samundri Road,Vehari Road,Mailsi Road,Eminabad Road,Satellite Town,Satellite Town,Lyari,Hussainabad,VIP Chowk,Bakrani,Moro,Kot Ghulam Muhammad,Tangwani,Station Road,Faiz Ganj,Larkana Road,Shah Bandar,Golarchi,City Area,City Area,Tando Allahyar Road,National Highway,National Highway,Railway Station,City Area,Nawabshah Road,Sakrand Road,Warsak Road,Kalu Khan,Kakul,Charbagh,Abbottabad Road,Kot Najibullah,Mardan Road,Risalpur,Togh Sarai,City Area,Zhob Road,Mardan Road,Peshawar Road,Khar,Darora,Torawari,Hospital Road,Kohat Road,Zarkani,Alamdar Road,Marine Drive,Zamuran,City Area,Industrial Area,City Area,Main Bazaar,Railway Station,Hospital Road,Main Bazaar,Main Bazaar,Hospital Road,Hospital Road,Hospital Road,Quetta Road,Garhi Dopatta,Chaksawari,Dandli,Main Bazaar,Main Bazaar,Main Bazaar,Hospital Road,Rahimabad,City Area,Passu,Immit,Bunji,Saltoro Valley,Nanga Parbat Base
Gujjar Khan,New Multan,Khawaja Fareed Road,Sharaqpur,Chund Bharwana,Dinga,Raiwind,Model Town,City Road,Lala Musa Road,Kot Rajkour,Satellite Town,Vehari Road,Bahawalpur Road,Muzaffargarh Road,Mianwali Road,Basal,Khewra,Balkassar,Nankana City,Railway Road,Railway Road,Railway Road,Railway Road,Bahawalpur Road,DG Khan Road,Tribal Area,Satellite Town,Chowk Sarwar Shaheed,Chowk Dera,Muridke Road,Bhakkar Road,Sargodha Road,Garden,Hirabad,City Area,Warah,Daulatpur,Hussain Bux Marri,Medical Road,Medical Road,Pir Jo Goth,Hyderabad Road,Kharo Chan,Hyderabad Road,Nasarpur Road,Railway Road,Station Road,Railway Station,Ghauspur,Indus Highway,New Hala,Mirpurkhas Road,City Area,GT Road,GT Road,PMA Area,Kabal,KKH,Abbottabad Road,GT Road,Amangarh,Usterzai,Cantt,Darazinda,Peshawar Road,Hospital Road,Daggar,Lowari,Darsamand,Main Bazaar,City Area,Jatta,Killi Ismail,Coastal Highway,Pidarak,Main Bazaar,RCD Highway,Killa Abdullah,Hospital Road,Main Bazaar,Quetta Road,Hospital Road,Hospital Road,Turbat Road,Khuzdar Road,Quetta Road,Afghan Border Road,Pattika,Mall Road,City Area,Hospital Road,Hospital Road,Hospital Road,LOC Area,City Area,Airport Road,Sost,Dahin,Thor,K2 Base Camp Road,Fairy Meadows
